0 4 8
0 8 4
0 18 2
0 112 3
0 150 2
0 156 30
0 215 48
0 259 8
0 265 2
0 274 3
0 321 21
0 352 2
0 415 10
0 552 7
0 618 5
0 646 2
0 670 2
0 674 3
0 679 3
0 843 10
0 902 9
0 936 3
1 30 5
1 37 16
1 70 3
1 82 2
1 135 3
1 228 2
1 481 47
1 535 2
1 565 3
1 644 2
1 768 2
1 825 2
1 920 2
2 0 8
2 3 7
2 8 2
2 48 2
2 132 2
2 260 2
2 267 14
2 523 11
2 826 2
3 24 19
3 131 2
3 272 2
3 277 56
3 530 3
3 592 2
3 652 2
3 817 27
4 0 8
4 4 3
4 50 2
4 60 4
4 64 2
4 284 6
4 293 337
4 368 2
4 517 4
4 576 5
4 683 3
4 774 2
4 803 2
5 584 14
6 3 4
6 148 2
6 212 5434
6 259 2
6 267 2
6 268 8
6 466 3
6 512 2
6 798 6
6 1002 2
7 81 2
7 110 17
8 1 2
8 2 4
8 19 2
8 32 2
8 42 3
8 58 29
8 202 5
8 272 8
8 386 16
8 486 10
8 552 4
8 642 25
8 656 4
8 735 2
8 850 2
8 902 7
9 39 6
9 274 45
9 526 7
9 572 2
9 823 2
9 907 4
10 13 123
10 40 16
10 75 4
10 84 217
10 160 12
10 176 2
10 518 2
10 523 11
10 599 19
10 680 27892
10 778 2
11 204 19
11 586 7
11 752 15
11 779 11
12 0 30
12 24 36334
12 55 25
12 65 2
12 128 2
12 269 3
12 366 12
12 634 6
12 781 2
13 66 8
13 192 6
13 224 3
14 127 2
14 210 8
14 321 4
14 376 2
14 584 2683
14 616 2
15 352 19
15 485 4
15 659 5
16 9 34
16 24 14
16 64 12
16 132 2
16 148 3
16 198 2
16 516 2
16 643 2
16 806 13
17 48 2
17 258 2
18 203 3
18 215 3
18 290 2
18 645 2
19 7 2
19 24 2
19 709 2
20 10 16
20 36 2
20 176 6
20 194 2
20 786 41
21 116 2
21 258 21
21 308 17
22 24 14
22 68 3
22 97 6
22 133 7
22 281 8
22 320 2
22 331 2
22 565 2633
23 328 7
23 770 2
24 9 3
24 533 4
24 781 6
24 786 13
24 848 5
25 592 3
26 20 41
26 22 3
26 109 2
26 801 2
27 130 20
27 210 16
28 42 2
28 72 3
28 146 19
28 192 3
28 624 16
28 647 4
29 5 23
29 327 3
29 532 37
29 809 147
30 21 11
30 52 4
30 129 3
30 588 2
31 77 2
32 33 2
32 42 2
32 185 8
32 196 16
32 204 2
32 211 168
32 219 26
32 276 2
32 414 28
32 514 2
32 612 131
32 641 142480
32 721 7
32 759 2
32 803 122
32 848 37
33 2 3
33 3 2
33 26 2
33 64 28
33 320 17
33 544 206
33 785 3
33 898 2
34 144 3
34 292 13
34 324 19
34 663 2
34 720 2
35 65 8
35 551 3
35 689 2
36 12 4
36 34 12
36 257 5
36 266 3
36 288 11
36 320 1204
36 448 4
36 555 2
36 705 2
36 858 18
37 13 20
37 364 15
37 594 3
37 640 45
37 673 2
38 1 3
38 180 8
38 204 3
39 3 2
39 48 3
39 520 10
39 982 13
40 9 15
40 39 6
40 65 13
40 512 8
40 528 12
40 605 17129
40 645 194
40 672 2
40 761 2
40 980 7
41 96 2
41 321 3
41 513 6
42 42 2
42 140 2
42 329 2
42 411 38
42 778 834
42 839 2
43 1 2
43 546 2
44 12 2
44 47 11
44 430 2
44 524 2
44 794 3
45 23 21
45 50 2
45 74 5
45 266 17
45 615 16
45 808 2
45 844 18
46 57 37
47 80 6
47 1022 2
48 67 14
48 193 37
48 198 2
48 226 597
48 708 192
48 789 2
48 932 2
49 4 2
49 310 3
49 313 2
49 516 2
50 9 15
50 113 61
50 528 16
51 70 2
52 46 14
52 256 17
52 285 3
52 390 40
52 899 3
53 146 7
53 245 13
54 112 13
54 718 17
55 278 2
56 89 2
56 472 2
56 544 2
56 560 141
57 5 2
57 128 6
57 448 9
58 113 15
58 470 792
59 58 5
59 292 3
59 583 2
60 3 153
60 5 15
60 33 3
60 112 33
60 948 2
61 648 7
62 521 3
62 612 2
64 26 2
64 41 7
64 192 2
64 194 7
64 203 2
64 272 248
64 370 14
64 465 2
64 481 25
64 514 17
64 686 2
64 756 8
64 771 10
64 780 2
64 790 2
65 25 3
65 61 46
65 96 12
65 118 14
65 218 7
65 241 220
65 421 5
65 515 3
66 140 4
66 545 2
67 2 2
67 16 17
67 20 7
67 37 4
67 453 23
67 482 2
67 840 7
68 192 73
68 226 2
68 284 2
68 576 2
69 138 30
69 276 7
69 466 11
69 572 45
69 768 8
70 212 4
70 431 2
70 608 6
70 642 29904
70 646 10
70 648 2
71 1 2
71 264 3164
71 409 2
71 700 4
72 8 2
72 65 21
72 437 367
72 533 14
72 961 2
73 39 3
73 870 2
73 999 2
74 512 3
74 548 11
74 768 2
